,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Abslom P & Belcher C,1990,3,2.28,3.28,4.02,0,0,0,0,0,0
1990 - Ackerman G & Cooke R,1990,2,2.55,0,4.32,0,0,0,0,0,0
1990 - Adam G & Mountney R,1990,1,0,0,0,6.38,0,0,0,0,0
1990 - Adams M R & Collett A F,1990,1,0,0,0,0,0,0,0,20.77,0
1990 - Adams M & Collett A,1990,1,2.52,0,0,0,0,0,0,0,0
1990 - Adams S & Carr M,1990,2,2.57,0,4.07,0,0,0,0,0,0
1990 - Addington L,1990,2,3.5,5.07,0,0,0,0,0,0,0
1990 - Adshead B R & Callaghan I S,1990,1,0,0,0,0,49.82,0,0,0,0
1990 - Ager Richard,1990,1,2.27,0,0,0,0,0,0,0,0
1990 - Ager Richard & Harris,1990,1,0,0,3.13,0,0,0,0,0,0
1990 - Agus R & Turner P,1990,3,2.57,3.68,4.27,0,0,0,0,0,0
1990 - Agus R & Turner P A,1990,1,0,0,0,0,0,22.27,0,0,0
1990 - Aitken M & Perrett B,1990,1,2.05,0,0,0,0,0,0,0,0
1990 - Alberto D & Faunt A,1990,1,1.97,0,0,0,0,0,0,0,0
1990 - Allard S A & Lipton J M,1990,1,0,0,0,0,0,20.02,0,0,0
1990 - Allard S & Lipton J,1990,2,2.37,3.02,0,0,0,0,0,0,0
1990 - Allen P D & Skelhorn D A,1990,1,0,0,0,0,24.63,0,0,0,0
1990 - Allen P & Skelhorn D,1990,1,0,0,0,6.55,0,0,0,0,0
1990 - Amos S J & Hillig P,1990,1,0,0,0,0,20.63,0,0,0,0
1990 - Amos S & Wilkinson K,1990,1,2.22,0,0,0,0,0,0,0,0
1990 - Anderson P & Willliams C,1990,1,0,0,3.93,0,0,0,0,0,0
1990 - Anderson S & Creek J,1990,1,0,0,0,0,25.85,0,0,0,0
1990 - Appleby C,1990,1,2.42,0,0,0,0,0,0,0,0
1990 - Archer N & Greasby C C,1990,1,0,0,0,0,26.98,0,0,0,0
1990 - Armstrong C A & Green S M,1990,1,0,0,0,0,0,21.63,0,0,0
1990 - Armstrong C & Green S,1990,1,0,4.05,0,0,0,0,0,0,0
1990 - Ashbey G,1990,4,2.63,3.9,4.73,7.45,0,0,0,0,0
1990 - Ashby G,1990,1,0,0,0,0,0,0,0,0,22.88
1990 - Ashcroft A P & Norman M,1990,1,0,0,0,0,25.65,0,0,0,0
1990 - Ashcroft A & Norman M,1990,1,2.42,0,0,0,0,0,0,0,0
1990 - Ashcroft A & Norman M. I,1990,1,0,0,0,6.58,0,0,0,0,0
1990 - Ayers P F & Taylor A,1990,1,0,0,0,0,50.85,0,0,0,0
1990 - Aylett L & Nicholson Leon,1990,1,0,3.35,0,0,0,0,0,0,0
1990 - Ayling H & Smith H,1990,4,2.87,4.02,4.62,7.92,0,0,0,0,0
1990 - Ayling Tracey & Smith Helen,1990,1,0,0,0,0,0,23.57,0,0,0
1990 - Bacon T & Rooney B,1990,1,2.13,0,0,0,0,0,0,0,0
1990 - Badger J & Toomey Paul,1990,4,2.13,3.02,3.77,6.4,0,0,0,0,0
1990 - Bagshaw S & Hewlings D,1990,1,2.05,0,0,0,0,0,0,0,0
1990 - Baguley J,1990,3,2.73,0,4.88,0,0,0,0,0,23.87
1990 - Bailey P & McDonoVon D I,1990,1,0,0,0,0,27.47,0,0,0,0
1990 - Bainbridge I C K & Proctor A J,1990,1,0,0,0,0,34.87,0,0,0,0
1990 - Baker A & Stagg R,1990,1,0,0,0,5.98,0,0,0,0,0
1990 - Baker S & Childs R,1990,3,2.02,2.65,3.42,0,0,0,0,0,0
1990 - Baldwin A & McDiarmid N,1990,1,0,0,0,0,27.02,0,0,0,0
1990 - Baldwin S & Ernst M,1990,1,0,0,0,0,25.43,0,0,0,0
1990 - Bales A & Hensman B,1990,3,3.37,5,5.53,0,0,0,0,0,0
1990 - Bales Andrea & Hensman Benita Louise,1990,1,0,0,0,0,0,27.6,0,0,0
1990 - Bales C & Boddy P,1990,1,0,0,4.82,0,0,0,0,0,0
1990 - Bales R & Lemin Jim,1990,1,0,0,0,0,38.22,0,0,0,0
1990 - Ball K & Grewcock I,1990,1,2.23,0,0,0,0,0,0,0,0
1990 - Balos R & Lemin J,1990,1,3.58,0,0,0,0,0,0,0,0
1990 - Banks S,1990,4,2.58,3.48,4.35,6.8,0,0,0,0,0
1990 - Banks S W,1990,1,0,0,0,0,0,0,0,0,22.08
1990 - Bannister T & Jackson P,1990,3,2.53,3.72,4.43,0,0,0,0,0,0
1990 - Bannister T & Jackson P G,1990,1,0,0,0,0,30.18,0,0,0,0
1990 - Barham P N & Squires A,1990,1,0,0,0,0,0,23.03,0,0,0
1990 - Bashford K M & Welch F W J,1990,1,0,0,0,0,0,0,0,23.28,0
1990 - Baynham C S & Peacock M R,1990,1,0,0,0,0,0,20.77,0,0,0
1990 - Baynham C & Pualock M,1990,4,2.6,3.38,4.32,6.92,0,0,0,0,0
1990 - Beaman Sally & Hughes Catherine,1990,1,0,0,0,0,0,26.33,0,0,0
1990 - Beard R J & Lenn C,1990,1,0,0,0,0,23.4,0,0,0,0
1990 - Beazley D,1990,1,0,3.33,0,0,0,0,0,0,0
1990 - Beazley D & Mullin A,1990,2,2.17,0,3.73,0,0,0,0,0,0
1990 - Beazley Daniel & Mullin A P J,1990,1,0,0,0,0,0,19.75,0,0,0
1990 - Beckett A & Hinds S,1990,3,2.03,2.88,0,5.85,0,0,0,0,0
1990 - Beegan A F & Painting R C S,1990,1,0,0,0,0,20.42,0,0,0,0
1990 - Begent A,1990,3,2.93,4.1,5,0,0,0,0,0,0
1990 - Bell R & Stanway P,1990,2,2.35,3.3,0,0,0,0,0,0,0
1990 - Bell Sandra Jane & Starling J A,1990,1,0,0,0,0,25.32,0,0,0,0
1990 - Bell & Staling,1990,1,0,0,4.12,0,0,0,0,0,0
1990 - Bell & Starling,1990,3,2.48,3.4,0,6.97,0,0,0,0,0
1990 - Benson A & Cloke T,1990,4,2.78,4.12,4.68,7.97,0,0,0,0,0
1990 - Berry J P & Keeton A G,1990,1,0,0,0,0,0,21.68,0,0,0
1990 - Bevan G,1990,1,2.43,0,0,0,0,0,0,0,0
1990 - Bibby S & Saunt B,1990,1,1.9,0,0,0,0,0,0,0,0
1990 - Birch G J & Marshall A S,1990,1,0,0,0,0,0,27.9,0,0,0
1990 - Birt R L & Poole H J,1990,1,0,0,0,0,37.8,0,0,0,0
1990 - Black A G & Crompton D E,1990,1,0,0,0,0,21.68,0,0,0,0
1990 - Blake M & Villet D,1990,1,0,0,0,0,0,21.92,0,0,0
1990 - Bland R & Green A,1990,1,2.32,0,0,0,0,0,0,0,0
1990 - Blatchly A M,1990,1,0,0,0,0,0,0,0,0,18.67
1990 - Blatchly Mark,1990,4,2.17,3,3.62,5.7,0,0,0,0,0
1990 - Block W & Demery D,1990,2,2.32,0,0,6.63,0,0,0,0,0
1990 - Block W & Demery D B,1990,1,0,0,0,0,24.88,0,0,0,0
1990 - Blounc J,1990,1,0,0,0,5.72,0,0,0,0,0
1990 - Blount J,1990,3,2.25,3.02,3.55,0,0,0,0,0,0
1990 - Blount J M,1990,1,0,0,0,0,0,0,0,0,18.75
1990 - Blyth D,1990,5,1.7,2.43,3.08,4.85,0,0,0,0,16.18
1990 - Boarer M & Kemp G J,1990,1,0,0,0,0,24.27,0,0,0,0
1990 - Boddy B & Boddy C,1990,1,0,4.42,0,0,0,0,0,0,0
1990 - Boddy C & Boddy P,1990,1,3.52,0,0,0,0,0,0,0,0
1990 - Bond P,1990,1,0,3.3,0,0,0,0,0,0,0
1990 - Booles K,1990,3,2.43,0,3.87,6.02,0,0,0,0,0
1990 - Booles K L & K1 Single,1990,1,0,0,0,0,22.33,0,0,0,0
1990 - Boonstra G & Windt T,1990,1,0,0,0,0,19.12,0,0,0,0
1990 - Booth C G & Duffy I,1990,1,0,0,0,0,0,21.6,0,0,0
1990 - Bostoen N & Houttekiet P A,1990,1,0,0,0,0,19.72,0,0,0,0
1990 - Bottrill L M & Broomfield T,1990,1,0,0,0,0,0,0,0,20.18,0
1990 - Bowker I & Dalzel B,1990,1,2.4,0,0,0,0,0,0,0,0
1990 - Bowker I & Gray S,1990,3,0,3.2,3.95,6.25,0,0,0,0,0
1990 - Bradbom A,1990,1,2.22,0,0,0,0,0,0,0,0
1990 - Bray A & Reed C,1990,3,2.35,0,4.07,6.63,0,0,0,0,0
1990 - Bray Peter D J,1990,1,0,0,0,0,0,0,0,0,22.57
1990 - Brignell K D & Thomdyke T J,1990,1,0,0,0,0,49.88,0,0,0,0
1990 - Brigstock K P & Mandry L A,1990,1,0,0,0,0,37.13,0,0,0,0
1990 - Brock P & Goodall M,1990,2,2.32,3.2,0,0,0,0,0,0,0
1990 - Brookes J M & Pearson S R,1990,1,0,0,0,0,21.97,0,0,0,0
1990 - Brookes J & Pearson S,1990,4,1.98,2.62,3.35,5.35,0,0,0,0,0
1990 - Broomfield T,1990,2,2.32,0,3.83,0,0,0,0,0,0
1990 - Brown A,1990,1,2.68,0,0,0,0,0,0,0,0
1990 - Bryan T & Hany M,1990,2,2.22,2.82,0,0,0,0,0,0,0
1990 - Bryce K & Kinninmonth M,1990,1,1.95,0,0,0,0,0,0,0,0
1990 - Bryce K & Kinnirumonth M,1990,1,0,0,0,5.27,0,0,0,0,0
1990 - Bull C & Stowell M,1990,5,2.4,3.35,4.18,7.68,30.77,0,0,0,0
1990 - Bull M & Enoch M,1990,1,2.38,0,0,0,0,0,0,0,0
1990 - Burton M & Conroy M,1990,1,0,0,0,0,27.47,0,0,0,0
1990 - Bushell A R & Turner R A E,1990,1,0,0,0,0,23.98,0,0,0,0
1990 - Bushell J A & Heath M,1990,1,0,0,0,0,25.83,0,0,0,0
1990 - Bushell M E & Hutchings C J,1990,1,0,0,0,0,23.32,0,0,0,0
1990 - Bushell & Heath M,1990,1,0,3.33,0,0,0,0,0,0,0
1990 - Bykerk E,1990,1,3.03,0,0,0,0,0,0,0,0
1990 - Bykerk Esther,1990,1,0,0,0,0,0,0,0,0,24.38
1990 - Capleion A C & Mann A,1990,1,0,0,0,0,0,23.68,0,0,0
1990 - Carter 0 & Shirley S,1990,4,2.63,3.72,4.47,6.97,0,0,0,0,0
1990 - Carter S,1990,2,2.25,3.23,0,0,0,0,0,0,0
1990 - Castro I & Mullen S,1990,1,0,0,0,0,23.37,0,0,0,0
1990 - Catchlove R A F & Elliott R N,1990,1,0,0,0,0,17.8,0,0,0,0
1990 - Catchlove R & Elliott R,1990,1,0,2.5,0,0,0,0,0,0,0
1990 - Cattermole I D & Cattermole J D,1990,1,0,0,0,0,25.12,0,0,0,0
1990 - Chaimbers N & Clayton J,1990,4,3.02,4.03,4.98,8.05,0,0,0,0,0
1990 - Chalcraft C D & Cleveland Yvette Gay,1990,1,0,0,0,0,26.63,0,0,0,0
1990 - Chalcraft C & Cleveland Y,1990,3,2.77,4.08,4.25,0,0,0,0,0,0
1990 - Chambers D & Kelit D,1990,1,3.07,0,0,0,0,0,0,0,0
1990 - Chambers N G A & Clayton J,1990,1,0,0,0,0,29.8,0,0,0,0
1990 - Chapman B,1990,2,2.12,0,0,0,0,0,0,0,18.45
1990 - Chapman N & Oliver K,1990,1,0,0,3.87,0,0,0,0,0,0
1990 - Chart B M & Peaple M J,1990,1,0,0,0,0,37.37,0,0,0,0
1990 - Charters S,1990,4,2.22,2.98,3.6,5.9,0,0,0,0,0
1990 - Child M A & Pigdon J M,1990,1,0,0,0,0,25.95,0,0,0,0
1990 - Child M & Pigdon J,1990,2,0,3.18,4.23,0,0,0,0,0,0
1990 - Childb G & Morriss S,1990,1,0,0,5.32,0,0,0,0,0,0
1990 - Childs G & Morriss S,1990,2,3.18,4.4,0,0,0,0,0,0,0
1990 - Childs Gillian Mary & Morriss S,1990,1,0,0,0,0,61.32,0,0,0,0
1990 - Choat J E,1990,1,0,0,0,0,0,0,0,0,24.28
1990 - Cianchi A & Cianchi P,1990,4,2.22,3.13,3.77,6.22,0,0,0,0,0
1990 - Cianchi Anne Elizabeth & Cianchi P A,1990,1,0,0,0,0,24.65,0,0,0,0
1990 - Clark J,1990,2,0,2.77,0,5.38,0,0,0,0,0
1990 - Clark J & Covell A,1990,1,0,0,3.42,0,0,0,0,0,0
1990 - Clark J & Kalis D,1990,1,1.93,0,0,0,0,0,0,0,0
1990 - Clark J & Lund M,1990,1,0,0,0,0,0,0,0,17.58,0
1990 - Clarke J & Critchley D,1990,1,0,0,0,0,25.45,0,0,0,0
1990 - Clarke N R & Clarke Susan Mary,1990,1,0,0,0,0,24.4,0,0,0,0
1990 - Clarke N & Clarke S,1990,1,0,0,0,6.02,0,0,0,0,0
1990 - Clarke & Critchley,1990,3,2.27,0,3.83,6.13,0,0,0,0,0
1990 - Clayton N & Shew D,1990,1,2.83,0,0,0,0,0,0,0,0
1990 - Cobern R & Turner Janet,1990,1,0,0,0,0,30.53,0,0,0,0
1990 - Coleman A,1990,2,2.1,2.77,0,0,0,0,0,0,0
1990 - Coleman C J & Linkin P,1990,1,0,0,0,0,72.93,0,0,0,0
1990 - Collett I & Gluyas R,1990,1,2.92,0,0,0,0,0,0,0,0
1990 - Collins D & Gunn T,1990,1,0,0,0,0,25.55,0,0,0,0
1990 - Cooke R W & Rous K S,1990,1,0,0,0,0,22.63,0,0,0,0
1990 - Cooper S & Curtis S,1990,1,2.6,0,0,0,0,0,0,0,0
1990 - Coulson D,1990,1,1.87,0,0,0,0,0,0,0,0
1990 - Coulson D & Kinch R,1990,1,0,2.27,0,0,0,0,0,0,0
1990 - Courtier I & Harte J,1990,2,2.2,0,0,0,22.72,0,0,0,0
1990 - Courtier P,1990,1,2.08,0,0,0,0,0,0,0,0
1990 - Coveil A & Goddard R,1990,1,0,2.9,0,0,0,0,0,0,0
1990 - Covell A N & Goddard R,1990,1,0,0,0,0,0,19.02,0,0,0
1990 - Covell A & Goddard R,1990,1,2.2,0,0,0,0,0,0,0,0
1990 - Cox M A R & Lawson D W M,1990,1,0,0,0,0,0,24.37,0,0,0
1990 - Cox M & Lawson D,1990,4,2.7,4.03,4.6,7.92,0,0,0,0,0
1990 - Craddock J & Eade G M,1990,1,0,0,0,0,22.1,0,0,0,0
1990 - Cramer D A & Wells M,1990,1,0,0,0,0,23.82,0,0,0,0
1990 - Cramer D & Wells M,1990,2,0,0,3.98,6.38,0,0,0,0,0
1990 - Cripps H & Cripps T,1990,2,0,0,4.3,6.98,0,0,0,0,0
1990 - Cripps Hazel Jean & Cripps T A,1990,1,0,0,0,0,25.68,0,0,0,0
1990 - Cronk T & Ranee B,1990,1,0,2.47,0,0,0,0,0,0,0
1990 - Cross C A & Seedhouse A J,1990,1,0,0,0,0,25.13,0,0,0,0
1990 - Cross C & Seedhouse A,1990,3,2.38,0,3.95,6.33,0,0,0,0,0
1990 - Croucher M & Wynn K,1990,1,2.97,0,0,0,0,0,0,0,0
1990 - Crow J & Doe D,1990,1,0,0,4.65,0,0,0,0,0,0
1990 - Cundick H & Hansford S,1990,1,3.43,0,0,0,0,0,0,0,0
1990 - Cundick Helen Victoria & Hansford Susan Michele,1990,1,0,0,0,0,37.73,0,0,0,0
1990 - Cuthbert S C & McStravick J,1990,1,0,0,0,0,37.18,0,0,0,0
1990 - Dains R,1990,4,0,3.07,3.9,6.28,0,0,0,0,19.97
1990 - Dale S & Hynda K,1990,1,0,3.68,0,0,0,0,0,0,0
1990 - Dale S & Hynds K,1990,1,0,0,0,6.88,0,0,0,0,0
1990 - Dale S & Hynds K M,1990,1,0,0,0,0,24.2,0,0,0,0
1990 - Dark A,1990,3,2.8,3.8,4.68,0,0,0,0,0,0
1990 - Dark S & Phillips T,1990,1,0,0,0,0,17.97,0,0,0,0
1990 - Dark Simon & Phillips T,1990,4,1.73,2.28,2.9,4.9,0,0,0,0,0
1990 - Daughters M,1990,1,2.2,0,0,0,0,0,0,0,0
1990 - Davidson-Houston P D & Smith A J,1990,1,0,0,0,0,27.68,0,0,0,0
1990 - Davidson C,1990,1,2.43,0,0,0,0,0,0,0,0
1990 - Davidson C M & Mullins I,1990,1,0,0,0,0,0,20,0,0,0
1990 - Davidson C & Mullins I,1990,3,0,3.13,4.13,6.65,0,0,0,0,0
1990 - Davies J & Toulmine M,1990,1,0,0,3.82,0,0,0,0,0,0
1990 - Davies M L & Gilby P S,1990,1,0,0,0,0,23.27,0,0,0,0
1990 - Davies M & Gilby P,1990,4,2.32,2.87,3.77,5.95,0,0,0,0,0
1990 - Davies S M & Fielden Paul,1990,1,0,0,0,0,19.45,0,0,0,0
1990 - Davis J & Stewart A,1990,1,2.25,0,0,0,0,0,0,0,0
1990 - Davis L & Young C,1990,1,2.13,0,0,0,0,0,0,0,0
1990 - Davis M,1990,1,1.97,0,0,0,0,0,0,0,0
1990 - Davis M 2 & Hyland D,1990,1,0,0,0,0,0,22.95,0,0,0
1990 - Davis S & Fielden Paul,1990,4,1.85,2.55,3.1,4.85,0,0,0,0,0
1990 - Dawes S R & Sands C J,1990,1,0,0,0,0,23.82,0,0,0,0
1990 - Dawes S & Sands C,1990,3,2.22,3.07,3.82,0,0,0,0,0,0
1990 - Dean W & Fredou K,1990,3,3.03,4.38,0,7.83,0,0,0,0,0
1990 - Deane Wendy & Fredou Kate,1990,1,0,0,0,0,0,26.98,0,0,0
1990 - Deapaties A & Pretty F,1990,1,0,0,0,7.33,0,0,0,0,0
1990 - Deavin A C & Harmer P D,1990,1,0,0,0,0,0,22.67,0,0,0
1990 - Despaties A & Pretty F,1990,3,2.58,3.72,4.3,0,0,0,0,0,0
1990 - Dobbin J G & Topham C,1990,1,0,0,0,0,0,21.82,0,0,0
1990 - Dobbin J S & Dobbin Janice Loraine,1990,1,0,0,0,0,35.15,0,0,0,0
1990 - Dobbin J & Dobbin J,1990,3,3.17,4.7,5.63,0,0,0,0,0,0
1990 - Dobbin & Topham,1990,3,0,3.17,3.92,7.13,0,0,0,0,0
1990 - Dobin & Topham,1990,1,2.27,0,0,0,0,0,0,0,0
1990 - Dook C D & Heaps B,1990,1,0,0,0,0,0,21,0,0,0
1990 - Dook & Tweedle,1990,4,2.8,3.63,4.13,6.5,0,0,0,0,0
1990 - Dooley M T,1990,1,0,0,0,0,0,0,0,0,21.42
1990 - Dowling T & Tomlins P,1990,3,1.93,2.68,3.37,0,0,0,0,0,0
1990 - Dunn A & Finch S,1990,3,0,0,4,6.47,25.37,0,0,0,0
1990 - Dunn S,1990,2,2.48,3.37,0,0,0,0,0,0,0
1990 - Dunn S & Howlett M,1990,2,0,0,0,7,0,21.97,0,0,0
1990 - Eastgate J,1990,5,2.37,3.3,4.1,6.58,0,0,0,0,21.6
1990 - Eaton R & English L,1990,2,0,3.3,0,6.3,0,0,0,0,0
1990 - Eaton R & English Lisa Hannah,1990,1,0,0,0,0,24.25,0,0,0,0
1990 - Edwards B & Smith R,1990,1,0,0,0,0,0,28.38,0,0,0
1990 - Edwards Roger A & Pearce M S,1990,1,0,0,0,0,0,0,0,18.92,0
1990 - Edwards Roger & Pearce Mark S,1990,4,2.05,2.75,3.57,5.68,0,0,0,0,0
1990 - Ellard S K & Middleton C R,1990,1,0,0,0,0,18.97,0,0,0,0
1990 - Ellard S & Middleton C,1990,4,1.92,2.62,3.2,5,0,0,0,0,0
1990 - Elliott J,1990,1,1.8,0,0,0,0,0,0,0,0
1990 - Ellis A L E & Maclean A,1990,1,0,0,0,0,26.75,0,0,0,0
1990 - Ellis R,1990,2,0,0,5.3,7.97,0,0,0,0,0
1990 - Ellis R J V,1990,1,0,0,0,0,0,0,0,0,24.27
1990 - Ellis T & Jones M,1990,1,0,0,0,0,37.28,0,0,0,0
1990 - Elsmore J,1990,3,2.97,4.38,4.9,0,0,0,0,0,0
1990 - Elsmore J P,1990,1,0,0,0,0,0,0,0,0,26.23
1990 - Emms P F N & Gearing R D,1990,1,0,0,0,0,72.88,0,0,0,0
1990 - English F E J & Love D E,1990,1,0,0,0,0,28.85,0,0,0,0
1990 - Enoch D C & Oliver G W,1990,1,0,0,0,0,20.58,0,0,0,0
1990 - Enoch D & Oliver G,1990,1,1.95,0,0,0,0,0,0,0,0
1990 - Ernes C,1990,4,2.42,3.23,4.27,6.9,0,0,0,0,0
1990 - Ernes C R W,1990,1,0,0,0,0,0,0,0,0,21.23
1990 - Escott J & Missen S,1990,2,1.87,0,3.23,0,0,0,0,0,0
1990 - Essex R W & Oliver K,1990,1,0,0,0,0,23.62,0,0,0,0
1990 - Essex R & Oliver E,1990,2,2.37,3.33,0,0,0,0,0,0,0
1990 - Evans N,1990,1,0,0,0,0,0,0,0,0,21.15
1990 - Evans P & Jones P,1990,3,2.02,2.77,3.72,0,0,0,0,0,0
1990 - Fallesen D & Lee S,1990,1,0,0,0,0,26.45,0,0,0,0
1990 - Fallsen D & Lee S,1990,2,2.35,0,0,6.62,0,0,0,0,0
1990 - Farrington A,1990,1,0,2.62,0,0,0,0,0,0,0
1990 - Fastwood J,1990,1,1.98,0,0,0,0,0,0,0,0
1990 - Faunt A & Hynds C,1990,1,0,2.8,0,0,0,0,0,0,0
1990 - Feldmanis E & Milner C,1990,4,2.28,3.03,0,6.05,22.7,0,0,0,0
1990 - Feldroanis E & Milner C,1990,1,0,0,3.7,0,0,0,0,0,0
1990 - Field K & Powell A. A,1990,1,2.38,0,0,0,0,0,0,0,0
1990 - Field M & Powell A. A,1990,3,0,3.67,4.23,6.68,0,0,0,0,0
1990 - Fielden S & Riocreux A,1990,2,3.05,4.27,0,0,0,0,0,0,0
1990 - Filler A & Ryan A,1990,5,3.07,3.88,5.07,7.48,28.63,0,0,0,0
1990 - Finbow D & Hill N,1990,1,0,2.98,0,0,0,0,0,0,0
1990 - Finlayson I P J & Gray P G,1990,1,0,0,0,0,0,22.03,0,0,0
1990 - Finlayson & Sulivan,1990,1,0,0,4.57,0,0,0,0,0,0
1990 - Finlayson & Sullivan,1990,2,0,3.78,0,7.48,0,0,0,0,0
1990 - Fisher C R & Gardiner A C,1990,1,0,0,0,0,23.93,0,0,0,0
1990 - Fisher C & Higgins J,1990,1,2.45,0,0,0,0,0,0,0,0
1990 - Fitchet A,1990,2,0,0,0,5.82,0,0,0,0,17.62
1990 - Fitchet A & Stubbs M,1990,2,1.93,0,3.28,0,0,0,0,0,0
1990 - Floyd W & Hobbs Jocelyn,1990,1,0,0,0,0,0,24.93,0,0,0
1990 - Flynn Dave,1990,3,1.88,2.57,0,5.27,0,0,0,0,0
1990 - Foiers A,1990,4,2.12,2.83,3.53,5.65,0,0,0,0,0
1990 - Foord A J & Scragg G M,1990,1,0,0,0,0,0,16.68,0,0,0
1990 - Foord A & Scragg G,1990,4,1.87,2.5,3.22,5.22,0,0,0,0,0
1990 - Forbes M & Tompkins D S,1990,1,0,0,0,0,23,0,0,0,0
1990 - Ford M & Watkins J,1990,3,2.13,0,3.62,5.87,0,0,0,0,0
1990 - Foreman M & Hamkari J S,1990,1,0,0,0,0,29.82,0,0,0,0
1990 - Fox L & Jones A1,1990,1,0,0,0,0,72.18,0,0,0,0
1990 - Frazer & Lodge T,1990,2,2.27,0,0,6.38,0,0,0,0,0
1990 - Fuller J & Smith A,1990,2,2.92,0,4.83,0,0,0,0,0,0
1990 - Gallichan Susan Claire & Smith M A,1990,1,0,0,0,0,0,23.95,0,0,0
1990 - Gandy Brian & Hicks Charles,1990,4,2.28,3.15,3.87,6.23,0,0,0,0,0
1990 - Gandy M & Parker J,1990,1,2.03,0,0,0,0,0,0,0,0
1990 - Gandy M & Parser J,1990,1,0,2.7,0,0,0,0,0,0,0
1990 - Gardner P,1990,1,2.08,0,0,0,0,0,0,0,0
1990 - Garland A & Marshall G,1990,3,2.23,2.85,0,5.85,0,0,0,0,0
1990 - Gavin J P & Potter R A,1990,1,0,0,0,0,26.42,0,0,0,0
1990 - George K & Shanahan G,1990,3,0,3.17,3.75,5.95,0,0,0,0,0
1990 - George Karotine & Shanahan G A C,1990,1,0,0,0,0,21.08,0,0,0,0
1990 - Gibbings M & Owens T,1990,1,0,0,0,0,37.55,0,0,0,0
1990 - Gibbins & Owen,1990,1,0,0,0,8.33,0,0,0,0,0
1990 - Gibbins & Owens,1990,2,3.35,0,5.42,0,0,0,0,0,0
1990 - Gibbons & Owens,1990,1,0,4.55,0,0,0,0,0,0,0
1990 - Gohar M,1990,2,0,2.98,3.47,0,0,0,0,0,0
1990 - Goodale P & Richards C,1990,3,2.05,2.68,3.35,0,0,0,0,0,0
1990 - Goodall P D & Richards C N,1990,1,0,0,0,0,20.75,0,0,0,0
1990 - Gould A P & Page N,1990,1,0,0,0,0,0,21.4,0,0,0
1990 - Gould K A,1990,1,0,0,0,0,0,0,0,0,24.82
1990 - Gow Clifford & Neve N,1990,4,2.02,2.63,3.28,5.23,0,0,0,0,0
1990 - Grassby R,1990,4,2.07,2.73,3.45,5.63,0,0,0,0,0
1990 - Grassby R A,1990,1,0,0,0,0,0,0,0,0,17.87
1990 - Gray S,1990,1,2.67,0,0,0,0,0,0,0,0
1990 - Green D & Phipps T,1990,1,2.17,0,0,0,0,0,0,0,0
1990 - Green D & Smith R,1990,3,2.08,0,0,6.4,25.07,0,0,0,0
1990 - Green I & Maycock D,1990,4,2.12,2.9,3.72,5.7,0,0,0,0,0
1990 - Green I & Maycock D J,1990,1,0,0,0,0,23.53,0,0,0,0
1990 - Greenaway D L & Lee C R,1990,1,0,0,0,0,49.93,0,0,0,0
1990 - Grewcock D,1990,4,2.28,3.03,3.85,6.33,0,0,0,0,0
1990 - Grewcock D C,1990,1,0,0,0,0,0,0,0,0,19.8
1990 - Grewcock I P & Smith D N,1990,1,0,0,0,0,19.45,0,0,0,0
1990 - Griffiths P,1990,1,2.5,0,0,0,0,0,0,0,0
1990 - Grimshaw C & Hynds K,1990,1,2.07,0,0,0,0,0,0,0,0
1990 - Hadberg A & Larsen P F,1990,1,0,0,0,0,21.2,0,0,0,0
1990 - Hadley C & Trelease R,1990,1,0,0,0,6.77,0,0,0,0,0
1990 - Hall D J & Mendham N A,1990,1,0,0,0,0,24.57,0,0,0,0
1990 - Hall D & Mendham N,1990,2,0,2.92,3.65,0,0,0,0,0,0
1990 - Hall J & Hall M,1990,4,2.43,3.42,4.33,6.87,0,0,0,0,0
1990 - Hall Jean Margaret & Johnson Margaret Elizabeth,1990,1,0,0,0,0,30.78,0,0,0,0
1990 - Hall M H,1990,1,0,0,0,0,0,0,0,0,25.82
1990 - Hall M & Spiller A,1990,4,2.13,3.02,3.65,5.63,0,0,0,0,0
1990 - Hallam David,1990,1,0,0,0,0,0,0,0,0,16.72
1990 - Halsall D & Murgatroyd S P,1990,1,0,0,0,0,22.47,0,0,0,0
1990 - Hamblim R & Monger S,1990,1,0,0,4.22,0,0,0,0,0,0
1990 - Harding J & Rust S,1990,2,0,0,3.7,5.97,0,0,0,0,0
1990 - Hargreaves P W & Whiteside S J,1990,1,0,0,0,0,26.53,0,0,0,0
1990 - Harkin J & Ozols A,1990,1,0,0,0,0,72.15,0,0,0,0
1990 - Harris & Inch,1990,2,1.85,2.55,0,0,0,0,0,0,0
1990 - Hatherill K & Parker J,1990,2,0,0,4.93,7.78,0,0,0,0,0
1990 - Hatherill K & Powell J,1990,2,2.85,4.05,0,0,0,0,0,0,0
1990 - Hauam D,1990,3,1.85,2.45,3.13,0,0,0,0,0,0
1990 - Hawkins J,1990,1,2.27,0,0,0,0,0,0,0,0
1990 - Hayes E & Limb T,1990,1,3.08,0,0,0,0,0,0,0,0
1990 - Hayward M & Smart J,1990,1,0,0,3.82,0,0,0,0,0,0
1990 - Heaps A,1990,1,3.42,0,0,0,0,0,0,0,0
